,Daftar,Poem,Beyt,Mesra1,Mesra2
0,1,1,1,بشنو از نی، چون حكایت میكند,"واز جدائی ها شكایت میكند
"
1,1,1,2,کز نیستان تا مرا ببریده اند,"از نفیرم مرد و زن نالیده اند
"
2,1,1,3,سینه خواهم شرحه شرحه از فراق,"تا بگویم شرح درد اشتیاق 
"
3,1,1,4,هر كسی كاو دور ماند از اصل ِ خویش,"باز جوید روزگار وصل ِ خویش 
"
4,1,1,5,من به هر جمعیتی نالان شدم,"جفت بَد حالان و خوش حالان شدم 
"
5,1,1,6,هر كسی از ظنّ خود، شد یار من,"از درون من نَجَست اسرار من 
"
6,1,1,7,سِرّ من از نالۀ من دور نیست,"لیك چشم و گوش را آن نور نیست 
"
7,1,1,8,تن ز جان و، جان ز تن مستور نیست,"لیك كس را دیدِ جان دستور نیست 
"
8,1,1,9,آتش است این بانگِ نای و، نیست، باد,"هر كه این آتش ندارد، نیست باد
"
9,1,1,10,آتش ِعشق است كاندر نی فتاد,"جوشش عشق است كاندر می   فتاد
"
10,1,1,11,نی حریف هر كه از یاری بُرید,"پرده هایش پرده های ما درید
"
11,1,1,12,همچو نی زهری و تریاقی كه دید ؟,"همچو نی دمساز و مشتاقی كه دید ؟
"
12,1,1,13,نی حدیث راهِ پُر خون میكند,"قصه های عشق ِ مجنون میكند
"
13,1,1,14,* دو دهان داریم گویا همچو نی,"یک دهان پنهانست در لبهای وی 
"
14,1,1,15,* یکدهان نالان شده سوی شما,"های و هوئی در فکنده در سما 
"
15,1,1,16,* لیک داند، هر که او را منظر است,"کاین دهان این سری هم، زآن سَر است 
"
16,1,1,17,* دمدمه این نای از دمهای اوست,"های و هوی روح از هیهای اوست 
"
17,1,1,18,محرم این هوش، جز بی هوش نیست,"مر زبان را مشتری، جز گوش نیست 
"
18,1,1,19,* گر نبودی ناله نی را ثمر,"نی جهانرا پُر نکردی از شکر 
"
19,1,1,20,در غم ما روزها بیگاه شد,"روزها با سوزها همراه شد
"
20,1,1,21,روزها گر رفت، گو رو، باك نیست,"تو بمان، ای آنكه چون تو، پاك نیست 
"
21,1,1,22,هر كه جز ماهی، ز آبش سیر شد,"هر كه بی روزیست، روزش دیر شد
"
22,1,1,23,درنیابد حال پخته، هیچ خام,"پس سخن كوتاه باید، والسلام 
"
23,1,1,24,* باده در جوشش گدای جوش ِ ماست,"چرخ در گردش اسیر هوش ِ ماست 
"
24,1,1,25,* باده از ما مست شد، نی ما از او,"قالب از ما هست شد، نی ما از او 
"
25,1,1,26,* بر سماع راست هر تن چیر نیست,"طعمه هر مرغکی انجیر نیست 
"
26,1,1,27,بند بگسل، باش آزاد، ای پسر,"چند باشی بند سیم و بند زر
"
27,1,1,28,گر بریزی بحر را در كوزه ای,"چند  ُگنجد؟ قسمت یك روزه ای 
"
28,1,1,29,كوزۀ چشم حریصان پُر نشد,"تا صدف قانع نشد، پُر دُرّ نشد
"
29,1,1,30,هر كه را جامه ز عشقی چاك شد,"او ز حرص و عیب كلـّی پاك شد
"
